Name,Price,URL,Rating,Number of Reviews
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.","1,099",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDA3NTkwNjM1Mzk4NDY5OjE2Nzk1OTcxMjA6c3BfbXRmOjIwMTExODI1MjI3Mzk4OjowOjo&url=%2FGenie-Glitter-Backpack-Women-compartments%2Fdp%2FB097JHQH13%2Fref%3Dsr_1_59_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679597120%26sprefix%3Dba%252Caps%252C283%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.3 out of 5 stars,395
COSMUS Jackson Aerogram leather Travel Laptop Backpack for up to 15.6 inch Laptop,"2,598",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDA3NTkwNjM1Mzk4NDY5OjE2Nzk1OTcxMjA6c3BfbXRmOjIwMDYzNzgxNTAzODk4OjowOjo&url=%2FCosmus-Jackson-Leather-Travel-Backpack%2Fdp%2FB0B6RNNJGX%2Fref%3Dsr_1_60_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679597120%26sprefix%3Dba%252Caps%252C283%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,3.9 out of 5 stars,4
"Chic Buddy Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries",299,https://www.amazon.in/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KSBHC18/ref=sr_1_61?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-61,4.4 out of 5 stars,282
Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,899,https://www.amazon.in/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-62,4.2 out of 5 stars,287
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-63,4.2 out of 5 stars,10
NETTIE Cotton Carry Bag with Strap and Drawstring for Yoga Mat- Big Size,198,https://www.amazon.in/NETTIE-Cotton-Carry-Strap-Drawstring/dp/B08LBT1R9J/ref=sr_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-64,4.1 out of 5 stars,"1,008"
NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,529,https://www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-65,4.2 out of 5 stars,"3,768"
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag,"1,181",https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D21FV/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-66,4.2 out of 5 stars,"1,365"
"Luv Lap Baby Breast Milk Storage Bags (Pack of 50), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",569,https://www.amazon.in/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZVTNCP/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-67,4.4 out of 5 stars,566
"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",640,https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-68,4.4 out of 5 stars,"1,025"
